,comment,date
59,"Wasnt it wall street speculation that caused the Great Depression? The Market was booming and it was a gravy train and so people kept taking out loans thru the bank to put into the market, that was until earnings started to flatline and shareholders couldn...Show more
","May 01, 2019 8:53PM ET"
60,"EASY MONEY FOREVER!!!
","May 01, 2019 6:21PM ET"
61,"ou y eople p re a osers l.
","May 01, 2019 6:12PM ET"
62,"a rare day when the volume exceeded the average. there hasn't been a day like this since October 18.
","May 01, 2019 4:52PM ET"
63,"bye bye bulls
","May 01, 2019 4:06PM ET"
64,"mini crash?
","May 01, 2019 3:52PM ET"
65,"Fabulous bit of market maneuvering here. They pump up stocks in the morning knowing that there will be no rate change from the Fed which will cause markets to go down...and tah dah...no net change on pessimistic news.
","May 01, 2019 3:27PM ET"
66,"hope so enjoy money every one
","May 01, 2019 2:45PM ET"
67,"pop this bubble,
","May 01, 2019 2:36PM ET"
68,"it looks like where getting better on Dow.... better points
","May 01, 2019 2:27PM ET"
69,"no
","May 01, 2019 1:57PM ET"
70,"Hi everyone, is it a good idea to short market at this level, 26.6K?
","May 01, 2019 1:43PM ET"
71,"Hello all gamblers, Is it a good idea to short the market at this level, 26600?
","May 01, 2019 1:33PM ET"
72,"So tired
","May 01, 2019 1:13PM ET"
73,"SELL DJI 26630 TGT 26530 / 26430 SL 26700
","May 01, 2019 1:08PM ET"
74,"I love the dow 30 i hope they do good this may from boyfriend alex harding&amp; girlfriend annabel miller
","May 01, 2019 12:55PM ET"
75,"Dow 30 can help ace disposal&amp; recycling in murray utah
","May 01, 2019 12:53PM ET"
76,"When countries come back from holiday they might be looking to sell and go away!
","May 01, 2019 12:53PM ET"
77,"275000 jobs. The Fed is a proactive organization to control recessions and inflation. Expecting a 1/4 point hike.
","May 01, 2019 12:15PM ET"
78,"so u want u friends Power call
","May 01, 2019 10:24AM ET"
79,"red BUULLLS ready to fly TO NEW ATH. :))
","May 01, 2019 8:03AM ET"
80,"good luck guys its almost star wars day :)
","May 01, 2019 7:33AM ET"
81,"Hey America well done with apple and everything being so good. Why not pay off the 22 trillion dollars in debt?
","May 01, 2019 2:13AM ET"
82,"pop this bubble
","Apr 30, 2019 2:51PM ET"
83,"My source in WH said it wont dip today but next day. The remaining closing hrs should see 26575--26590--maybe 26615. Gratuitious tip : short the next opening 26652--26697 for a 1000 points gain, within 4-5 trading days ....
","Apr 30, 2019 2:07PM ET"
84,"So why Dow is up today? Surely GE and Macdonald is not as big as Apple and few others which are down today.
","Apr 30, 2019 1:58PM ET"
85,"Bear trap!!! Mobs lure bears out of the woods, then ...Grrr... smash them on the head.
","Apr 30, 2019 1:32PM ET"
86,"Today   Trading  looks  like  it   is   trying   to   Dip  on   daily  Charts  but  upon  Closing  ???
","Apr 30, 2019 12:35PM ET"
87,"When   it   is   Time  for  Prices  to   Dip , it   will   but   until   then   it   will   continue  with   the   Flow ............................ UP .. With   all   the   Yield   Curve   News  and   it   is   NOT   Dipping .......   so .....  just   fol...Show more
","Apr 30, 2019 12:31PM ET"
88,"where is the (follow me 26850 guy) why is he not sharing his wisdom? Any can predict that the market go up when there is plenty of free money around but when u need real thought and insight, the nowhere to be found
","Apr 30, 2019 11:07AM ET"
89,"Venezuela Coup = Optimism = Stocks up :D
","Apr 30, 2019 9:17AM ET"
90,"the fed , plunge protection team and exchange stabilization fund are not your stock market money buddies. someday when you are all in they are gonna pull the carpet and push u off a cliff
","Apr 29, 2019 5:14PM ET"
91,"will go slightly higher daily
","Apr 29, 2019 1:13PM ET"
92,"How about paying off some of the debt USA? 22 trillion and counting.
","Apr 29, 2019 12:43PM ET"
93,"what we're saying is the state of the true market. there is no more free money, there is no more equity for the indices because the banks don't play with their own money, they only play with yours.
","Apr 29, 2019 11:41AM ET"
94,"Dow got no momentum
","Apr 29, 2019 11:26AM ET"
95,"For the music is your special friend . Dance on fire as it intends . Music is your only friend . Until the end . Until the end
","Apr 29, 2019 11:18AM ET"
96,"Hmmm...trade pessimism doesn't seem to impact markets :D https://www.zerohedge.com/news/2019-04-29/trade-deal-narrative-shattered-white-house-again-threatens-walk-away-table
","Apr 29, 2019 8:55AM ET"
97,"Donuts
","Apr 28, 2019 11:43PM ET"
98,"Trump’s tweets are one thing, but lying during his tweets is another. OPEC needs to follow their intentions with cuts and give Orange Man the middle finger.
","Apr 28, 2019 11:12AM ET"
99,"The trading market it's happening the end off April, so we make sure that where biting on the market.
","Apr 27, 2019 3:53AM ET"
100,"BIg commodities bull market coming once trade deal is signed.
","Apr 27, 2019 1:53AM ET"
101,"Once this trade deal between Trump and Xi is done expect 40,000 to be on the cards.  Another 50% rise from current levels.
","Apr 27, 2019 1:00AM ET"
102,"closed at the highs. Huge volume at the end. Looks like definite pumping. Blackrock and Vanguard were both the buyer and seller. They call it taking out the trash. The trash being us who go broke and ruin our lives and family. Welcome to hypernormalisation...Show more
","Apr 26, 2019 5:49PM ET"
103,"It’s a casino. A game played by the big boys to get everyone in the market believing it can never drop and that there is no risk anymore. Fed got’s your back, no dark clouds in the sky, there is no black swan, bears are all dead, debt does not matter etc. ...Show more
","Apr 26, 2019 5:04PM ET"
104,"As expected thats the reason why I closed everything before session has ended....
","Apr 26, 2019 4:09PM ET"
105,"Be ready for a hard landing...
","Apr 26, 2019 4:02PM ET"
106,"The Chinese index is twice lower than during the bubble of 2007, and the American index is in 2 times higher, Karl. Where is the bubble? Technically dow must touch 8000 this year.
","Apr 26, 2019 3:52PM ET"
107,"How can you explain this market going up when Intel is down 10% along with other big names. All fake U.S.A. markets are fake but worry not day of reckoning is very near. They can only do it for soo long end is near
","Apr 26, 2019 3:11PM ET"
108,"#fakemarket
","Apr 26, 2019 3:06PM ET"
109,"i think djia will up until 26965
","Apr 26, 2019 2:11PM ET"
110,"central banks and elite might me looking to corner the bulls than thin the herd
","Apr 26, 2019 1:48PM ET"
111,"we stuck one month between 26,1xx-26,6xx
","Apr 26, 2019 1:47PM ET"
112,"Doesn't the volume seem a little light?
","Apr 26, 2019 1:31PM ET"
113,"take another oil producer off the market and the price goes down.
","Apr 26, 2019 11:39AM ET"
114,"Health Insurers are ready for a big move on the upside..the only stocks with great earnings..HUM UNH I buy on these two King Pins...
","Apr 26, 2019 10:35AM ET"
115,"Fed bond buying doing nothing to prop up DOW.
","Apr 26, 2019 10:35AM ET"
116,"is there a way to direct message someone on the board privately?
","Apr 26, 2019 10:05AM ET"
117,"it looks like it's time for them to take a machete to the bond market again
","Apr 26, 2019 9:52AM ET"
118,"good PIN bar In 1 Hour's so Dow Shortly kiss 26850 / 27230
","Apr 26, 2019 8:57AM ET"
119,"Sold -.-
","Apr 26, 2019 8:35AM ET"
120,"can i give you power call
","Apr 26, 2019 8:30AM ET"
121,"down
","Apr 26, 2019 8:30AM ET"
122,"Today down or up
","Apr 26, 2019 8:23AM ET"
123,"Tiday down or up ???? Gdp
","Apr 26, 2019 8:22AM ET"
124,"27750
","Apr 26, 2019 6:36AM ET"
125,"i will just watch and laugh really really bad lol  0 trades and 0 open till the month ends :p
","Apr 26, 2019 6:34AM ET"
126,"drama bulls :)
","Apr 25, 2019 4:29PM ET"
127,"wrong this market will break even just see
","Apr 25, 2019 3:24PM ET"
128,"DOOM LOOP ,, CAN'T BE ESCAPED
","Apr 25, 2019 2:35PM ET"
129,"Probability of a FLASH CRASH is 100 percent by or on April 30
","Apr 25, 2019 2:28PM ET"
130,"kenny, if you check history, it has always been like this.
","Apr 25, 2019 2:21PM ET"
131,"how can anyone rely on fundamentals, analysis, and honest news when we are living with a completely fraudulent financial system. the only thing to do is forget due diligence and ask your dog
","Apr 25, 2019 2:19PM ET"
132,"Train might be leaving the station! Back to 267?
","Apr 25, 2019 2:10PM ET"
133,"All time highs incoming
","Apr 25, 2019 1:37PM ET"
134,"recession and correct, or hyperinflation. take yer pick. The Fed will be forced to raise soon.
","Apr 25, 2019 1:08PM ET"
135,"NARAYANA, Im enjoying the free money.  thanks for TIP
","Apr 25, 2019 11:50AM ET"
136,"enjoy money
","Apr 25, 2019 11:43AM ET"
137,"its should go down to 20k
","Apr 25, 2019 11:19AM ET"
138,"see just accuracy
","Apr 25, 2019 11:05AM ET"
139,"y my msg delete moderatar
","Apr 25, 2019 11:05AM ET"
140,"How likely is 26,200?
","Apr 25, 2019 10:48AM ET"
141,"Where is the drop protection army?
","Apr 25, 2019 10:38AM ET"
142,"Told you the next drop will be a big one! Here it comes.
","Apr 25, 2019 10:37AM ET"
143,"Will turn green today....
","Apr 25, 2019 10:24AM ET"
144,"Bear trap
","Apr 25, 2019 10:14AM ET"
145,"Dwain, im in agreement with your forecast.
","Apr 25, 2019 9:55AM ET"
146,"Not expecting any flash crash today,, just a little lower, followed by little lower,, small bounce up more lower,, same story next few days,, then come 1st week of may ....
","Apr 25, 2019 9:49AM ET"
147,"pop this bubble
","Apr 25, 2019 9:28AM ET"
148,"Drama bears
","Apr 25, 2019 7:31AM ET"
149,"I don't really like when is DJI up And Dow. it's just not good and making points for the company, who's trading market in the wide world..... plus people whos watching the marketing.
","Apr 25, 2019 12:42AM ET"
150,"War Comming!!!
","Apr 25, 2019 12:24AM ET"
151,"Where getting real close to a all time high..the bulls taste Blood right now..They want that new High Stay long...10% Trailing Stop Lost...and keep one eye open at all times..than you should be all set...Good Luck....
","Apr 24, 2019 5:10PM ET"
152,"pop this bubble
","Apr 24, 2019 3:44PM ET"
153,"Remember that SOROS broke the Bank of England. The Bank of England was floating the Pound then. But MANIPULATION of the markets is a short term deception. I say ULTIMATELY the truth will out. The Emperor wears no clothes
","Apr 24, 2019 2:59PM ET"
154,"100 points down today... and a bad finish to the week.
","Apr 24, 2019 1:25PM ET"
155,"buy buy buy
","Apr 24, 2019 1:23PM ET"
156,"The Dow failed to go higher than 27, now it retests 21
","Apr 24, 2019 1:08PM ET"
157,"weekly chart shows what happens when green stripes have the sway for too long... The most violent of multi week corrections is about to occur.
","Apr 24, 2019 1:07PM ET"
158,"Wishes if it happen soonest.
","Apr 24, 2019 12:55PM ET"
159,"Dow 25,000 by 30 April
","Apr 24, 2019 11:53AM ET"
160,"Its the 11am ET cavalry that comes to save the day...everyday. I see they pumped it with enough green to turn it green.
","Apr 24, 2019 10:59AM ET"
161,"dow will fall 1000 pts very soon
","Apr 24, 2019 10:27AM ET"
162,"As i predicted, till 6.00pm Adelaide SA time was minus $85.pb and  about 7.48 up plus $78 profit.It was on 26,683..! Because i still keep going i did it well now!!! Thanks DJI!
","Apr 24, 2019 6:28AM ET"
163,"Hearing rumbles on the floor....and it' bad....start looking for safe haven !!!
","Apr 23, 2019 7:35PM ET"
164,"27,500 by 30/04/19.
","Apr 23, 2019 5:55PM ET"
165,"We should have a new high tomorrow.
","Apr 23, 2019 4:27PM ET"
166,"Dow easily going to $100,000 by next year.  Easily going to rise by 380%.
","Apr 23, 2019 3:54PM ET"
167,"not sure why most commentators on this forum are just guessing. How on earth can DOW rise to 400k or 800k? maximum it can fly this year is between 27k and 28k and even at that, that will be computers playing tricks
","Apr 23, 2019 3:08PM ET"
168,"To the infinity and beyond
","Apr 23, 2019 2:47PM ET"
169,"400k then 800k
","Apr 23, 2019 2:21PM ET"
170,"I think we might reach 36,000-38,000 in the next 1-2 years
","Apr 23, 2019 2:19PM ET"
171,"with automation and technology on the rise, corporate profits will continue to grow until demand falls off big time. Huge melt up coming first.
","Apr 23, 2019 1:00PM ET"
172,"200k then 400k
","Apr 23, 2019 12:59PM ET"
173,"100k then 200k
","Apr 23, 2019 12:48PM ET"
174,"40k then 80k
","Apr 23, 2019 12:29PM ET"
175,"I'm quite surprised to see that after all these comments from so-called experts about the coming global economic crisis is not affecting stocks at all.....With Oil up and stocks at this level, and USD stronger, FED may change their mind and hike interest r...Show more
","Apr 23, 2019 12:22PM ET"
176,"Wow.. Optimism trumps Reality I guess despite plunging macro-economic data and slumping earnings expectations
","Apr 23, 2019 12:01PM ET"
177,"I mean its nuts right? Planes fall out of the sky ******people and the share price still goes up. Companies that will never make money go up because more people tweet? Never mind. ********the bullet and go with the flow
","Apr 23, 2019 12:01PM ET"
178,"Mazel Tov USA! How about paying off some debt?
","Apr 23, 2019 11:53AM ET"
179,"goodbye bears, i'm moving to the bull camp. There's no fun going against the Wall Street mobs.
","Apr 23, 2019 11:40AM ET"
180,"This world has gone nuts, stocks up bonds up dollar up oil up ...
","Apr 23, 2019 11:37AM ET"
181,"Wall Street higher following positive earnings
","Apr 23, 2019 10:04AM ET"
182,"Mama Dow tot he Sky :)
","Apr 23, 2019 9:52AM ET"
183,"Dow futures.. flying.. headed to 26600 and above target.
","Apr 23, 2019 7:03AM ET"
184,"Inverted yield curve on us treasury
","Apr 23, 2019 2:01AM ET"
185,"Bear Drama
","Apr 22, 2019 3:09PM ET"
186,"Today close above 600
","Apr 22, 2019 3:07PM ET"
187,"talk about extreme low volume...
","Apr 22, 2019 2:39PM ET"
188,"if break around 650-700 straight to 27000
","Apr 22, 2019 2:06PM ET"
189,"too much drama bears comments below ... but at the end Mama Dow kick them again :) lol
","Apr 22, 2019 1:02PM ET"
190,"sell Dow for the 26300
","Apr 22, 2019 12:20PM ET"
191,"Dow will close at 26393 today.
","Apr 22, 2019 10:25AM ET"
192,"Ready for the crash
","Apr 22, 2019 8:09AM ET"
193,"Dow crashing soon
","Apr 22, 2019 3:20AM ET"
194,"Honey where is crisis ? :) lol
","Apr 22, 2019 3:01AM ET"
195,"are mrkts open Monday?
","Apr 22, 2019 12:12AM ET"
196,"what do u guys think the DOW points.
","Apr 21, 2019 12:12AM ET"
197,"26,600-26,850 as expecte soon
","Apr 20, 2019 1:40AM ET"
198,"27?
","Apr 19, 2019 8:18PM ET"
199,"it's bed
","Apr 19, 2019 8:18PM ET"
200,"GREED is Everywhere.. Get Out While you can!. You want Evidence right?. It's everywhere:. https://realinvestmentadvice.com/the-smart-money-are-bullish-on-volatility-again/
","Apr 19, 2019 8:10PM ET"
201,"building permits missed. what effect could it have on dow?
","Apr 19, 2019 11:58AM ET"
202,"Anybody else looking for a Friday rebound in some stocks held, only to realize subsequently that markets were closed today? Doh!
","Apr 19, 2019 11:16AM ET"
203,"I want the Dow keep going up the points.
","Apr 19, 2019 12:20AM ET"
204,"LOL, I told you all too move on until I say so four months ago.  Listen.  Gave you a few great trades but those who subscribe to my channel...Word New Report Today, have been long SPY options since Dec 22, LOL, meaning BIG $$$$.  That is why they call me a...Show more
","Apr 18, 2019 9:57PM ET"
205,"26,600-26,850 range in play
","Apr 18, 2019 9:35PM ET"
206,"holyday
","Apr 18, 2019 8:51PM ET"
207,"market not working why
","Apr 18, 2019 6:08PM ET"
208,"26670
","Apr 18, 2019 4:56PM ET"
209,"lol ... where are Drama Bears :)
","Apr 18, 2019 4:24PM ET"
210,"gonna go until 30k. cant go down.
","Apr 18, 2019 4:21PM ET"
211,"265182648826455264262641126384
","Apr 18, 2019 3:52PM ET"
212,"Next down will be a big one
","Apr 18, 2019 3:46PM ET"
213,"long term 26768
","Apr 18, 2019 3:43PM ET"
214,"down265542653626518
","Apr 18, 2019 3:42PM ET"
215,"2660326595
","Apr 18, 2019 3:42PM ET"
216,"I said it cannot and will not go down. Ignore the reality that the deficit will never be able to be paid off so usa can literally get away with stealing from the rest of the world. 22 trillion? might as well be 100 trillion trillion. Its crazy crazy
","Apr 18, 2019 3:38PM ET"
217,"Shorting at 26616
","Apr 18, 2019 3:29PM ET"
218,"will hit 26700 / 26740 zone tomorrow.
","Apr 18, 2019 3:23PM ET"
219,"elliott wave 5 most likely ongoing to touch 27k soon enough
","Apr 18, 2019 3:06PM ET"
220,"So why this market is still heading up and up every day. Even if the earnings are bad it still goes up
","Apr 18, 2019 2:15PM ET"
221,"likely to cross 26610
","Apr 18, 2019 1:54PM ET"
222,"Will never reach 26610. Maybe in the dream
","Apr 18, 2019 1:03PM ET"
223,"rising wedge
","Apr 18, 2019 12:54PM ET"
224,"what's going on the DOW the points it's going up and down, I literally don't get it. it's just gitting bad.
","Apr 18, 2019 12:14PM ET"
225,"up
","Apr 18, 2019 11:26AM ET"
226,"will printest and zoom have an effect on dow?
","Apr 18, 2019 10:23AM ET"
227,"26610
","Apr 18, 2019 9:58AM ET"
228,"This is gettimg rather redicolous
","Apr 18, 2019 9:53AM ET"
229,"Above 26,600
","Apr 18, 2019 9:49AM ET"
230,"Be fearful when others are greedy and greedy when others are fearful!
","Apr 18, 2019 1:44AM ET"
231,"When   the    Market   is   about   to   Die  ,  breathing   will   be   shorter  and   shorter  ,  then  comes   a   sudden   Spike   Up   and   that   will   be   the   Final  straw   to   Dip    Lower   and   lower  .
","Apr 17, 2019 11:56PM ET"
232,"finally where flying 30,600 points.
","Apr 17, 2019 10:30PM ET"
233,"We will fly above 26,600 soon
","Apr 17, 2019 9:41PM ET"
234,"2 dojo’s in daily. Could mean sell off soon. As soon as tomorrow.
","Apr 17, 2019 4:03PM ET"
235,"Short now..26460
","Apr 17, 2019 1:20PM ET"
236,"This all over the place today. Holding shorts. Done for the day. Until tomorrow.
","Apr 17, 2019 1:03PM ET"
237,"double top,,, recession coming,,
","Apr 17, 2019 11:44AM ET"
238,"The right should looks to have peaked at around 500-550. If we stay below this level I am expecting a crash at any moment but probably not until early May.
","Apr 17, 2019 11:23AM ET"
239,"crashing.....
","Apr 17, 2019 11:00AM ET"
240,"wow Shorted from 26510 TP 26100 B)
","Apr 17, 2019 10:23AM ET"
241,"china has probably manipulated indice but who cares when we gonan find out wer already in next crisis
","Apr 17, 2019 9:03AM ET"
242,"good earnings but its all lower then previous earnings in Q4 tat says enough
","Apr 17, 2019 9:01AM ET"
243,"despite huge fake outs of tech stocks nasdaq gonna reach their new ATH gobal markets did going 4months to a place no one would thought bout it, europe is left over with standing way too high
","Apr 17, 2019 9:00AM ET"
244,"Everything about American markets are fake. IBM earnings are out down 3%  futures still goes up. Boeing goes down 5% market still ends up in green. Like no matter what's happen market is only programme to ho up and up. I wonder why IMF and world Central ba...Show more
","Apr 16, 2019 4:13PM ET"
245,"farewell free markets
","Apr 16, 2019 4:01PM ET"
246,"since the market is a Ponzi scheme, they will never let it correct they can't, it will only collapse
","Apr 16, 2019 3:04PM ET"
247,"Lol even not 30 points up come on....
","Apr 16, 2019 2:15PM ET"
248,"Oh yes of course it´ll go down cause I have been long for the first time since a while again in DJI
","Apr 16, 2019 2:05PM ET"
249,"Wall St inches higher on tech boost and Johnson &amp; Johnson???. What about some systemic facts such as 'Containerboard Carnage Wipes Out $3 billion in minutes'. I suppose this is a form of negligible optimism. Trade the farce
","Apr 16, 2019 1:09PM ET"
250,"come on Algos. bring it on. fly me to the moon
","Apr 16, 2019 12:37PM ET"
251,"lol it's crazy to see investors using the stock market as a store of value.
","Apr 16, 2019 12:31PM ET"
252,"The market on the edge of the grave and investors are afraid
","Apr 16, 2019 12:28PM ET"
253,"Why fight it. its got to keep going up for the ponzi scheme to work. period the end.
","Apr 16, 2019 12:27PM ET"
254,"the market trend is strong and the tendency is steady gain
","Apr 16, 2019 11:47AM ET"
255,"Last minute profit taking in European session is over, it's time to Dow swings back up.
","Apr 16, 2019 11:38AM ET"
256,"If we cant break through and sustain above the 550 area within the next 10 trading sessions, this will crash 3000 - 5000 pts.
","Apr 16, 2019 11:13AM ET"
257,"Sooooon 25000 (bonds)welcome
","Apr 16, 2019 11:12AM ET"
258,"Dow will be eventually get 26860 before ****itself.
","Apr 16, 2019 11:09AM ET"
259,"27,500 by 30/04/19.
","Apr 16, 2019 11:07AM ET"
260,"Crashing
","Apr 16, 2019 11:00AM ET"
261,"We love go higher, but it will increases explosive down side risky in every second.
","Apr 16, 2019 9:56AM ET"
262,"Dow 2700, however we need a 500 points sink down for fresh money come in. Otherwise we will have a valuation problem.
","Apr 16, 2019 9:53AM ET"
263,"In a sane market such a big gap at these streched levels would be sold pretty fast. So this says a good deal about the state we are in. This time is different for sure. Algos has taken over the whole game and only a big computer error can reverse this back...Show more
","Apr 16, 2019 9:36AM ET"
264,"talk people
","Apr 16, 2019 9:21AM ET"
265,"Dow to Sky ... Bears to Sink :)
","Apr 16, 2019 4:48AM ET"
266,"FAANGs report over the next two weeks. If tech breaks, it all breaks.
","Apr 15, 2019 6:46PM ET"
267,"rally will continue, i think
","Apr 15, 2019 4:16PM ET"
268,"this double peak that has started to form is concerning me...looks like that October double peak
","Apr 15, 2019 3:39PM ET"
269,"volume small
","Apr 15, 2019 3:09PM ET"
270,"whoever trades this ur insane
","Apr 15, 2019 1:30PM ET"
271,"dow rigged moves again everyday the same boring this isnt an index it was the lead index of the world now i see better things ahead this is just madness
","Apr 15, 2019 1:16PM ET"
272,"Will go up fast to 26400 I would say.
","Apr 15, 2019 12:33PM ET"
273,"will close even or slightly higher
","Apr 15, 2019 12:24PM ET"
274,"just people from arab countries making negative comments about th u.s market
","Apr 15, 2019 12:23PM ET"
275,"What will be the closing
","Apr 15, 2019 12:14PM ET"
276,"Today for bears as i said since morning time
","Apr 15, 2019 12:01PM ET"
277,"22 TRILLION 211 BILLION AMERICAN DEBT CRISIS
","Apr 15, 2019 11:52AM ET"
278,"By the way, anyone knows why  the market is red so far.
","Apr 15, 2019 11:17AM ET"
279,"26480 should work as resistance above this level one should go long with stop below 26062 target 27040-27600
","Apr 15, 2019 11:16AM ET"
280,"Where is green mr john i think its going to crash can we short
","Apr 15, 2019 10:18AM ET"
281,"In the green today, thanks goodness for the real economy of corporate buybacks and trade talk optimism.... trade the farce
","Apr 15, 2019 9:10AM ET"
282,"27,500 by 30/04/19. Then 30,000 then 50,000.
","Apr 14, 2019 10:34PM ET"
283,"""Stocks should be 5000-10000 pts higher"",, hey ! We thought 30k was going to be the top,, seems markets are extremely undervalued,, all aboard the trump train,, where everybody wins lol..
","Apr 14, 2019 4:39PM ET"
284,"What is monday statistics go down?
","Apr 14, 2019 2:03PM ET"
285,"hi
","Apr 14, 2019 12:30PM ET"
286,"The question is: ""Where to park my money?"". Its not a fundamental game. Small accounts are shorting  all the time, fat cats are taking their stops, over and over again. As far as we have a market sponsors (central banks) the free cash is going to go into s...Show more
","Apr 14, 2019 1:41AM ET"
287,"what's the PE and PEG at current levels for industrial?
","Apr 13, 2019 1:26PM ET"
288,"lol .... Mama Dow Kicked Drama Bears :)
","Apr 12, 2019 5:09PM ET"
289,"Wait... what?...why? Economic Data Collapses and stocks soar. Well we know that stocks have nothing to do with the economy...trade the farce
","Apr 12, 2019 4:27PM ET"
